1692332400000,26343.96000000,26347.83000000,26290.05000000,26302.02000000,356.95892000,1692332699999,9395906.96050250,6720,169.22756000,4453962.61180890,0
1692332700000,26302.02000000,26323.04000000,26157.71000000,26207.63000000,1059.26551000,1692332999999,27771947.71401930,16511,536.83797000,14072201.28429830,0
1692333000000,26207.63000000,26235.35000000,26190.00000000,26203.36000000,298.73301000,1692333299999,7829927.10322180,7137,189.91221000,4977542.17824200,0
1692333300000,26203.35000000,26231.60000000,26183.39000000,26201.19000000,371.00305000,1692333599999,9722924.83731420,6306,129.92693000,3404773.16061320,0
1692333600000,26201.18000000,26320.00000000,26201.18000000,26299.99000000,423.90673000,1692333899999,11139009.68091740,8659,224.77499000,5906093.89056400,0
1692333900000,26299.99000000,26300.00000000,26230.71000000,26230.71000000,231.64124000,1692334199999,6083646.00363710,6029,95.14506000,2498492.92762050,0
1692334200000,26230.72000000,26255.06000000,26208.44000000,26221.81000000,292.02902000,1692334499999,7658762.00217280,6490,158.07090000,4145300.22169870,0
1692334500000,26221.82000000,26267.94000000,26198.61000000,26267.94000000,329.22193000,1692334799999,8633496.09155180,4899,138.18172000,3625232.70560030,0
1692334800000,26267.93000000,26339.22000000,26262.47000000,26324.81000000,371.31091000,1692335099999,9766367.16774620,7313,225.56429000,5932700.64522910,0
1692335100000,26324.82000000,26327.79000000,26295.71000000,26314.01000000,330.87922000,1692335399999,8704091.55115820,5719,179.95162000,4733622.48343480,0
1692335400000,26314.00000000,26383.23000000,26313.99000000,26383.23000000,225.07703000,1692335699999,5930790.66525960,5424,132.64652000,3495243.89845310,0
1692335700000,26383.23000000,26394.39000000,26352.80000000,26362.38000000,246.18262000,1692335999999,6492238.42706670,4851,103.08963000,2718704.73532900,0
1692336000000,26362.39000000,26389.54000000,26362.38000000,26373.39000000,137.01683000,1692336299999,3613826.74196140,3257,68.44463000,1805062.22663330,0
1692336300000,26373.40000000,26445.28000000,26373.39000000,26442.01000000,198.44204000,1692336599999,5241144.67175140,4831,111.58691000,2946903.20547500,0
1692336600000,26442.01000000,26442.96000000,26418.72000000,26434.01000000,225.07747000,1692336899999,5949301.30927830,5071,115.41274000,3050543.99634430,0
1692336900000,26434.01000000,26534.97000000,26434.00000000,26488.41000000,404.48037000,1692337199999,10718052.92683840,8798,235.27201000,6233661.20061940,0
1692337200000,26488.41000000,26488.86000000,26428.23000000,26453.36000000,289.68560000,1692337499999,7663224.17187140,5987,125.28442000,3313631.63972260,0
1692337500000,26453.37000000,26473.33000000,26438.78000000,26457.23000000,195.96830000,1692337799999,5183809.88927070,4237,106.80247000,2825047.14751560,0
1692337800000,26457.23000000,26494.87000000,26442.20000000,26450.00000000,166.07267000,1692338099999,4395646.25516980,4662,74.69932000,1976939.43222970,0
1692338100000,26450.00000000,26454.00000000,26428.37000000,26443.76000000,192.40431000,1692338399999,5087205.89661720,4023,83.61709000,2210852.52789670,0
1692338400000,26443.75000000,26501.56000000,26443.75000000,26500.79000000,177.81681000,1692338699999,4708508.52664680,4308,102.87031000,2724163.99388750,0
1692338700000,26500.79000000,26519.61000000,26478.74000000,26487.57000000,316.84947000,1692338999999,8396950.21438650,5854,142.88479000,3786798.90961850,0
1692339000000,26487.57000000,26610.00000000,26487.56000000,26606.63000000,471.09551000,1692339299999,12513125.09592570,8656,258.04017000,6853729.56496540,0
1692339300000,26606.62000000,26608.38000000,26510.89000000,26538.92000000,470.80583000,1692339599999,12502911.40806290,9199,190.61169000,5061498.99376520,0
1692339600000,26538.93000000,26570.12000000,26538.92000000,26553.96000000,232.48457000,1692339899999,6173337.86616890,4709,127.37222000,3382098.74660410,0
1692339900000,26553.96000000,26557.88000000,26503.62000000,26512.90000000,289.68344000,1692340199999,7683870.88020870,5849,97.39053000,2582657.11157200,0
1692340200000,26512.91000000,26538.60000000,26504.00000000,26527.55000000,202.92212000,1692340499999,5381182.20914040,4128,98.91318000,2622966.25191320,0
1692340500000,26527.54000000,26592.20000000,26527.54000000,26574.29000000,363.50365000,1692340799999,9653457.34405590,5836,214.07487000,5683679.37143550,0
1692340800000,26574.29000000,26585.61000000,26564.86000000,26568.88000000,206.64888000,1692341099999,5491360.96032140,4406,100.76162000,2677495.16576560,0
1692341100000,26568.87000000,26568.88000000,26500.00000000,26512.05000000,193.50088000,1692341399999,5133193.06194790,4988,79.35045000,2104949.00767370,0
1692341400000,26512.06000000,26530.87000000,26494.00000000,26494.01000000,189.47967000,1692341699999,5023337.17673860,4180,65.55136000,1738022.30708880,0
1692341700000,26494.00000000,26525.84000000,26493.08000000,26502.66000000,229.52852000,1692341999999,6083395.27331310,5078,108.36709000,2871937.59307290,0
1692342000000,26502.67000000,26524.00000000,26471.15000000,26489.90000000,218.75408000,1692342299999,5795470.69738520,5824,93.36982000,2473608.31775850,0
1692342300000,26489.89000000,26527.45000000,26487.53000000,26518.23000000,173.03388000,1692342599999,4587569.87878650,3767,87.16612000,2310929.93528510,0
1692342600000,26518.22000000,26523.79000000,26477.09000000,26486.03000000,282.07686000,1692342899999,7473445.84100970,4640,129.72574000,3436661.35306070,0
